,clusteringCoefficient_networkit,PageRank_networkit,betweennessInComm_toScale,lengthMean_rw,clusteringCoefficient_networkit_innov,PageRank_networkit_innov,betweennessInComm_toScale_innov,lengthMean_rw_innov,clusteringCoefficient_networkit_prop,PageRank_networkit_prop,betweennessInComm_toScale_prop,lengthMean_rw_prop,clusteringCoefficient_networkit_fix,PageRank_networkit_fix,betweennessInComm_toScale_fix,lengthMean_rw_fix,type,nb_users
ptddddddddddddddddddddddr,0.0637485737993984,1.8327592398062962e-07,0.4782608695652176,9.0283,0.1333333333333333,8.436420929458124e-08,-0.1739130434782608,7.5538,0.0658925308212359,1.4542362035722692e-07,0.0072463768115942,9.13385,0.0615110287106468,2.004804724831969e-07,0.7101449275362319,9.02755,buzz,548
mddddddddddddddddr,0.0685392506225268,1.6206681753435702e-07,0.4057971014492754,8.1708,0.1295639320029564,1.2014899852563198e-07,-0.0144927536231884,6.6067,0.0777777777777777,1.3361669877658446e-07,0.1014492753623188,8.2191,0.0647685291789455,1.8565103702286865e-07,0.6376811594202898,8.15765,buzz,1297
dingri,0.0689507831186244,1.6793507691193728e-07,0.2463768115942029,9.3525,0.1395550089954681,9.3175219358278e-08,-0.0724637681159419,5.984500000000001,0.0760183591508892,1.4802700839148688e-07,0.0289855072463768,8.7988,0.0666042612075456,1.895256548173768e-07,0.3768115942028985,9.4919,buzz,610
lacelle,0.0629905292355977,1.9870881674791961e-07,0.4202898550724638,9.07305,0.1087565070048562,1.4114650289751678e-07,-0.0507246376811594,7.0391,0.0704413118567684,1.5484081476709857e-07,0.0289855072463768,8.66315,0.0609761668911611,2.2117197580410077e-07,0.5797101449275364,9.19705,buzz,1675
jors,0.0901893616216208,1.19772478415336e-07,0.2391304347826087,7.09515,0.0471259575306402,9.519723603577393e-08,0.3478260869565217,5.09515,0.1071428571428571,1.0133003538981289e-07,0.0,7.406,0.0869183494293239,1.259694385791563e-07,0.3333333333333333,6.9669,buzz,294
dpress,0.068430212321615,1.655456862963247e-07,0.4057971014492754,8.41,0.0368421052631578,1.4266361554062774e-07,-0.1363636363636363,7.1925,0.0841348811498065,1.295710794053098e-07,-0.0579710144927536,8.4451,0.0670807453416149,1.885096796616651e-07,0.6231884057971014,8.4379,buzz,274
botlane,0.1347236493694039,1.2343147871844437e-07,0.6585365853658538,4.390549999999999,0.1094716956550061,1.5293437266072136e-07,0.1341463414634146,4.30165,0.1480951679741808,1.0034603969917705e-07,0.3780487804878049,4.42435,0.1339830585881288,1.242769873145014e-07,0.6829268292682928,4.3888,change,1282
fullstack,0.085956267222876,4.584956919205464e-07,1.5000000000000004,12.3571,0.0878281813100477,4.503990465855892e-07,1.4090909090909094,13.44825,0.0835643564356435,3.829761946949842e-07,1.2272727272727275,12.1456,0.087735951821478,4.996919535801514e-07,1.681818181818182,12.3385,change,363
khaf,0.0808910546467107,1.7133489169546706e-07,0.4492753623188405,7.8209,0.4255231765013205,6.900471113486129e-08,0.431818181818182,14.2261,0.0936026936026936,1.45472188163351e-07,0.3768115942028985,6.8213,0.0770654676424318,1.794469216281989e-07,0.4492753623188405,7.89555,buzz,241
outai,0.0879120879120879,1.6085855742046242e-07,0.5072463768115942,6.646,0.1001004923034504,1.084219974619127e-07,0.1985534547608024,2.7046,0.0933333333333333,1.3668740457698097e-07,0.2898550724637681,6.6511,0.0855167107201802,1.802523361344857e-07,0.6814888010540185,6.64635,buzz,3907
wsssh,0.0673064107690257,1.7323747129379493e-07,0.4492753623188405,8.6923,0.0682798872057184,1.1208729612996845e-07,-0.0909090909090909,6.2624,0.0734063238403653,1.396456117626827e-07,0.1304347826086956,8.6719,0.0655379833190505,1.933881490058772e-07,0.6376811594202898,8.697,buzz,2324
mdddddddrrrrrrr,0.0644841269841269,1.7094815804937084e-07,0.4782608695652176,7.796,0.1005602240896358,8.818138332399022e-08,0.2318840579710144,7.29965,0.0694087608699233,1.3460301332846476e-07,0.1449275362318841,7.98095,0.0588235294117647,1.887636102684871e-07,0.7971014492753624,7.7184,buzz,297
fisha,0.069191112269201,1.4716028438287586e-07,0.4347826086956524,8.0667,0.1256038647342995,9.983067181482333e-08,-0.0869565217391304,5.2947500000000005,0.0773109243697479,1.239567328027123e-07,0.1594202898550725,7.8855,0.0676309226932668,1.616663472078697e-07,0.5652173913043479,8.1247,buzz,2672
sneck,0.0765409097966154,1.585067532066986e-07,0.2898550724637681,8.0926,0.1333333333333333,9.690433377973944e-08,-0.144927536231884,3.5126,0.0860314523589269,1.3155584710542608e-07,0.1159420289855072,7.9766,0.0733752620545073,1.774945367199776e-07,0.4390243902439025,8.2576,buzz,203
